Nombre,Enlace,Precio,Rebaja,Numero de habitaciones,Espacio,Garaje
"Piso en Calle de Bravo Murillo, Arapiles, Madrid",/inmueble/107233356/,870.000€,0%,2 hab.,103 m²,Garaje no incluido
"Piso en Calle del Divino Pastor, Malasaña-Universidad, Madrid",/inmueble/107308505/,985.000€,7%,2 hab.,129 m²,Garaje incluido
"Piso en Calle de Ayala, Goya, Madrid",/inmueble/108686386/,560.000€,0%,1 hab.,50 m²,Garaje no incluido
"Ático en Calle de Alustante, Prosperidad, Madrid",/inmueble/106770687/,1.339.000€,0%,3 hab.,161 m²,Garaje no incluido
"Chalet adosado en Calle Jaenar, Conde Orgaz-Piovera, Madrid",/inmueble/108211222/,2.522.000€,0%,6 hab.,440 m²,Garaje incluido
"Piso en Recoletos, Madrid",/inmueble/108090929/,5.900.000€,0%,5 hab.,333 m²,Garaje no incluido
"Chalet pareado en Valdemarín, Madrid",/inmueble/107282868/,2.590.000€,0%,4 hab.,577 m²,Garaje incluido
"Piso en Paseo del General Martínez Campos, 36, Almagro, Madrid",/inmueble/107621097/,1.790.000€,0%,3 hab.,128 m²,Garaje no incluido
"Casa o chalet independiente en Calle Virgen de los Rosales, Aravaca, Madrid",/inmueble/98954898/,3.950.000€,0%,7 hab.,800 m²,Garaje incluido
"Dúplex en Malasaña-Universidad, Madrid",/inmueble/108447881/,1.295.000€,0%,2 hab.,170 m²,Garaje no incluido
"Piso en Travesía de San Mateo, Chueca-Justicia, Madrid",/inmueble/108112577/,1.490.000€,0%,2 hab.,127 m²,Garaje no incluido
"Piso en Avenida del General Perón, Cuatro Caminos, Madrid",/inmueble/107966052/,960.000€,0%,3 hab.,145 m²,Garaje no incluido
"Piso en Sol, Madrid",/inmueble/107087838/,3.390.000€,0%,4 hab.,438 m²,Garaje incluido
"Piso en Calle de Montesa, Goya, Madrid",/inmueble/107887720/,1.750.000€,0%,3 hab.,175 m²,Garaje no incluido
"Piso en Calle de Méjico, Guindalera, Madrid",/inmueble/108733551/,875.000€,0%,3 hab.,112 m²,Garaje no incluido
"Piso en Calle de Recoletos, Recoletos, Madrid",/inmueble/108913937/,1.352.000€,0%,2 hab.,103 m²,Garaje no incluido
"Piso en Malasaña-Universidad, Madrid",/inmueble/108585083/,1.650.000€,0%,3 hab.,202 m²,Garaje no incluido
"Piso en Goya, Madrid",/inmueble/108212836/,1.550.000€,0%,3 hab.,115 m²,Garaje no incluido
"Piso en Calle de Lagasca, Castellana, Madrid",/inmueble/108338614/,1.690.000€,0%,3 hab.,107 m²,Garaje no incluido
"Ático en Castellana, Madrid",/inmueble/108042619/,1.765.000€,2%,2 hab.,127 m²,Garaje no incluido
"Piso en Recoletos, Madrid",/inmueble/108366853/,1.150.000€,0%,2 hab.,87 m²,Garaje no incluido
"Piso en Avenida de América, Guindalera, Madrid",/inmueble/107083524/,670.000€,2%,2 hab.,80 m²,Garaje no incluido
"Ático en Castellana, Madrid",/inmueble/108405153/,4.600.000€,0%,4 hab.,366 m²,Garaje incluido
"Piso en Calle de Ardemans, Guindalera, Madrid",/inmueble/107057353/,880.000€,0%,3 hab.,130 m²,Garaje incluido
"Piso en Calle del General Díaz Porlier, Lista, Madrid",/inmueble/108192971/,1.880.000€,0%,4 hab.,193 m²,Garaje no incluido
"Piso en Calle de Trujillos, Sol, Madrid",/inmueble/108776475/,580.000€,0%,2 hab.,73 m²,Garaje no incluido
"Piso en Calle de San Bernardo, 85, Malasaña-Universidad, Madrid",/inmueble/108787542/,1.290.000€,0%,2 hab.,145 m²,Garaje no incluido
"Piso en Calle de Estanislao Figueras, Argüelles, Madrid",/inmueble/107975978/,508.000€,0%,2 hab.,58 m²,Garaje no incluido
"Dúplex en El Viso, Madrid",/inmueble/108338915/,7.000.000€,0%,3 hab.,462 m²,Garaje no incluido
"Piso en El Viso, Madrid",/inmueble/104621747/,1.800.000€,0%,5 hab.,268 m²,Garaje incluido
"Piso en Lista, Madrid",/inmueble/108631671/,850.000€,0%,2 hab.,90 m²,Garaje no incluido
"Piso en Calle del Corazón de María, Prosperidad, Madrid",/inmueble/108588128/,950.000€,5%,3 hab.,137 m²,Garaje incluido
"Piso en Calle de la Farmacia, Chueca-Justicia, Madrid",/inmueble/108605986/,632.500€,6%,3 hab.,88 m²,Garaje no incluido
"Piso en Calle de la Fuente del Berro, Goya, Madrid",/inmueble/106968036/,1.300.000€,0%,3 hab.,170 m²,Garaje no incluido
"Piso en Calle de Lagasca, Recoletos, Madrid",/inmueble/104071408/,1.350.000€,0%,2 hab.,137 m²,Garaje no incluido
"Piso en Calle de Fuencarral, Malasaña-Universidad, Madrid",/inmueble/108568454/,910.000€,9%,2 hab.,129 m²,Garaje no incluido
